id;movie_title;num_launch_days;genre;mpaa_rating;total_gross;inflation_adjusted_gross
229;Muppet Treasure Island;328;Adventure;G;34327391;65470567
230;Mr. Wrong;328;Romantic Comedy;PG-13;12805071;24422334
231;Before and After;327;Drama;PG-13;8642118;16482589
232;Up Close & Personal;327;Drama;PG-13;51045801;97356578
233;Homeward Bound II: Lost in San Franc…;327;Adventure;G;32709423;62384706
234;Two Much;327;Romantic Comedy;PG-13;1078555;2057055
235;Un indien dans la ville;326;Comedy;PG;1029731;1963937
236;James and the Giant Peach;326;Adventure;PG;28921264;55159783
237;Celtic Pride;325;Comedy;PG-13;9240378;17623615
238;Last Dance;325;Drama;R;5857534;11171714
239;Boys;325;Drama;PG-13;21930418;41826566
240;Spy Hard;324;Comedy;PG-13;26936265;51373912
241;Eddie;324;Comedy;PG-13;31369401;59828966
242;The Rock;324;Action;R;134069511;255702705
243;The Hunchback of Notre Dame;323;Adventure;G;100138851;190988799
244;Phenomenon;323;Drama;PG;104636382;199559799
245;Kazaam;323;Comedy;PG;18880508;36009655
246;Jack;322;Drama;PG-13;58617334;111792852
247;First Kid;321;Comedy;PG;26465920;50465108
248;The Rich Man's Wife;321;Thriller/Suspense;R;8538318;16284619
249;D3: The Mighty Ducks;320;Comedy;PG;22936273;43713554
250;The Associate;319;Comedy;PG-13;12772657;24333094
251;Ransom;319;Action;R;136492681;259807820
252;The War at Home;318;R;34368;65543;
253;101 Dalmatians;318;Comedy;G;136189294;258728898
254;The Preacher's Wife;318;Drama;PG;48102795;91076877
255;Evita;317;Musical;PG;50047179;92077628
256;Metro;317;Action;R;32017895;58804106
257;Prefontaine;316;Drama;PG-13;590817;1085093
258;Shadow Conspiracy;316;Thriller/Suspense;R;2154540;3957025
259;That Darn Cat;316;Comedy;PG;18301828;33613158
260;Jungle 2 Jungle;315;Comedy;PG;59925026;110058379
261;The Sixth Man;314;Comedy;PG-13;14765099;27117599
262;Grosse Pointe Blank;314;Black Comedy;R;28084357;51579764
263;Romy and Michele's High School Reunion;313;Comedy;R;29235353;53693680
264;Gone Fishin';312;Comedy;PG;19745922;36265379
265;Con Air;312;Action;R;101117573;185712664
266;Hercules;312;Adventure;G;99112101;182029412
267;George Of The Jungle;311;Comedy;PG;105263257;193326632
268;Nothing To Lose;311;Comedy;R;44480039;81692095
269;Air Bud;310;Comedy;PG;24646936;45266588
270;G.I. Jane;309;Drama;R;48169156;88467531
271;A Thousand Acres;308;Drama;R;7928412;14561324
272;Washington Square;308;Drama;PG;1775644;3257546
273;Rocket Man;308;Comedy;PG;15448043;28371890
274;Playing God;308;Thriller/Suspense;R;4166918;7652965
275;Flubber;306;Comedy;PG;92993801;170406423
276;An American Werewolf in Paris;305;Horror;R;26570463;48546161
277;Mr. Magoo;305;Comedy;PG;21437192;39145784
278;Kundun;305;Drama;PG-13;5686694;10236836
279;Deep Rising;304;Action;R;11203026;20136775
280;Krippendorf's Tribe;303;Comedy;PG-13;7571115;13608633
281;An Alan Smithee Film: Burn Hollywood …;303;Comedy;R;45779;82277
282;Meet the Deedles;302;Comedy;PG;4356126;7829877
283;He Got Game;301;Drama;R;21567853;38766948
284;The Horse Whisperer;301;Drama;PG-13;75383563;135497531
285;Six Days Seven Nights;300;Romantic Comedy;PG-13;74339294;133620516
286;Mulan;299;Adventure;G;120620254;216807832
287;Armageddon;299;Adventure;PG-13;201578182;362324957
288;Jane Austen's Mafia;298;Comedy;PG-13;19843795;35668055
289;The Parent Trap;298;Comedy;PG;66308518;119185667
290;Firelight;297;Drama;R;784419;1409943
291;Simon Birch;297;Drama;PG;18253415;32809442
292;Holy Man;296;Comedy;PG;12069719;21694605
293;Beloved;296;Drama;R;22852487;41062682
294;The Waterboy;295;Comedy;PG-13;161491646;288691833
295;I'll Be Home For Christmas;295;Comedy;PG;12214338;21941840
296;A Bug's Life;294;Adventure;G;162798565;288981698
297;Enemy of the State;294;Action;R;111549836;198472008
298;Rushmore;294;Black Comedy;R;17105219;28392518
299;A Civil Action;293;Drama;PG-13;56709981;94139530
300;Mighty Joe Young;293;Adventure;PG;50632037;87906042
301;My Favorite Martian;292;Comedy;PG;36850101;61150849
302;The Other Sister;291;Romantic Comedy;PG-13;27807627;46145331
303;Doug's 1st Movie;290;Adventure;G;19421271;32228598
304;Ten Things I Hate About You;290;Romantic Comedy;PG-13;38177966;63354375
305;Endurance;289;PG;229128;380218;
306;Instinct;288;Drama;R;34105207;56595842
307;Tarzan;288;Adventure;G;171091819;283900254
308;Summer of Sam;287;Drama;R;19288130;32007656
309;Inspector Gadget;286;Comedy;PG;97387965;161610341
310;The Sixth Sense;286;Thriller/Suspense;PG-13;293506292;485424724
311;The 13th Warrior;285;Action;R;32698899;54262148
312;Breakfast of Champions;285;Comedy;R;178287;295851
313;Mumford;284;Comedy;R;4559569;7566363
314;Mystery Alaska;284;Comedy;R;8891623;14755189
315;The Straight Story;284;Drama;G;6197866;10111144
316;The Insider;283;Drama;R;28965197;47794214
317;Toy Story 2;282;Adventure;G;245852179;404450426
318;Cradle Will Rock;282;Drama;R;2899970;4609153
319;Deuce Bigalow: Male Gigolo;282;Comedy;R;65535067;106921374
320;Bicentennial Man;282;Drama;PG;58220776;94838225
321;Play it to the Bone;281;Comedy;R;8427204;13180524
322;Fantasia 2000 (IMAX);281;Musical;G;60507228;94852354
323;Gun Shy;280;Comedy;R;1638202;2562155
324;The Tigger Movie;280;Adventure;G;45542421;71228678
325;Mission to Mars;279;Adventure;PG;60874615;95208344
326;High Fidelity;278;Comedy;R;27277055;42661516
327;Keeping the Faith;278;Romantic Comedy;PG-13;37036404;57925202
328;Dinosaur;276;Adventure;PG;137748063;215438985
329;Shanghai Noon;276;Western;PG-13;56932305;89042541
330;Gone in 60 Seconds;276;Action;PG-13;101643008;158970411
331;Fantasia 2000 (Theatrical Release);276;Musical;G;9103630;14238144
332;The Kid;275;Comedy;PG;69688384;108993148
333;Coyote Ugly;274;Drama;PG-13;60786269;95070168
334;The Crew;273;Comedy;PG-13;13019253;20362201
335;Duets;273;Drama;R;4734235;7404372
336;Remember the Titans;272;Drama;PG;115654751;180742479
337;Unbreakable;270;Thriller/Suspense;PG-13;94999143;148208901
338;102 Dalmatians;270;Comedy;G;66941559;104055039
