id;movie_title;release_date;genre;mpaa_rating;total_gross;inflation_adjusted_gross
246;Jack;09/08/1996;Drama;PG-13;58617334;111792852
247;First Kid;30/08/1996;Comedy;PG;26465920;50465108
248;The Rich Man's Wife;13/09/1996;Thriller/Suspense;R;8538318;16284619
249;D3: The Mighty Ducks;04/10/1996;Comedy;PG;22936273;43713554
250;The Associate;25/10/1996;Comedy;PG-13;12772657;24333094
251;Ransom;08/11/1996;Action;R;136492681;259807820
252;The War at Home;20/11/1996;;R;34368;65543
253;101 Dalmatians;27/11/1996;Comedy;G;136189294;258728898
254;The Preacher's Wife;13/12/1996;Drama;PG;48102795;91076877
255;Evita;25/12/1996;Musical;PG;50047179;92077628
256;Metro;17/01/1997;Action;R;32017895;58804106
257;Prefontaine;24/01/1997;Drama;PG-13;590817;1085093
258;Shadow Conspiracy;31/01/1997;Thriller/Suspense;R;2154540;3957025
259;That Darn Cat;14/02/1997;Comedy;PG;18301828;33613158
260;Jungle 2 Jungle;07/03/1997;Comedy;PG;59925026;110058379
261;The Sixth Man;28/03/1997;Comedy;PG-13;14765099;27117599
262;Grosse Pointe Blank;11/04/1997;Black Comedy;R;28084357;51579764
263;Romy and Michele's High School Reunion;25/04/1997;Comedy;R;29235353;53693680
264;Gone Fishin';30/05/1997;Comedy;PG;19745922;36265379
265;Con Air;06/06/1997;Action;R;101117573;185712664
266;Hercules;13/06/1997;Adventure;G;99112101;182029412
267;George Of The Jungle;16/07/1997;Comedy;PG;105263257;193326632
268;Nothing To Lose;18/07/1997;Comedy;R;44480039;81692095
269;Air Bud;01/08/1997;Comedy;PG;24646936;45266588
270;G.I. Jane;22/08/1997;Drama;R;48169156;88467531
271;A Thousand Acres;19/09/1997;Drama;R;7928412;14561324
272;Washington Square;05/10/1997;Drama;PG;1775644;3257546
273;Rocket Man;10/10/1997;Comedy;PG;15448043;28371890
274;Playing God;17/10/1997;Thriller/Suspense;R;4166918;7652965
275;Flubber;26/11/1997;Comedy;PG;92993801;170406423
276;An American Werewolf in Paris;25/12/1997;Horror;R;26570463;48546161
277;Mr. Magoo;25/12/1997;Comedy;PG;21437192;39145784
278;Kundun;25/12/1997;Drama;PG-13;5686694;10236836
279;Deep Rising;30/01/1998;Action;R;11203026;20136775
280;Krippendorf's Tribe;27/02/1998;Comedy;PG-13;7571115;13608633
281;An Alan Smithee Film: Burn Hollywood …;27/02/1998;Comedy;R;45779;82277
282;Meet the Deedles;27/03/1998;Comedy;PG;4356126;7829877
283;He Got Game;01/05/1998;Drama;R;21567853;38766948
284;The Horse Whisperer;15/05/1998;Drama;PG-13;75383563;135497531
285;Six Days Seven Nights;12/06/1998;Romantic Comedy;PG-13;74339294;133620516
286;Mulan;19/06/1998;Adventure;G;120620254;216807832
287;Armageddon;01/07/1998;Adventure;PG-13;201578182;362324957
288;Jane Austen's Mafia;24/07/1998;Comedy;PG-13;19843795;35668055
289;The Parent Trap;29/07/1998;Comedy;PG;66308518;119185667
290;Firelight;04/09/1998;Drama;R;784419;1409943
291;Simon Birch;11/09/1998;Drama;PG;18253415;32809442
292;Holy Man;09/10/1998;Comedy;PG;12069719;21694605
293;Beloved;16/10/1998;Drama;R;22852487;41062682
294;The Waterboy;06/11/1998;Comedy;PG-13;161491646;288691833
295;I'll Be Home For Christmas;13/11/1998;Comedy;PG;12214338;21941840
296;A Bug's Life;20/11/1998;Adventure;G;162798565;288981698
297;Enemy of the State;20/11/1998;Action;R;111549836;198472008
298;Rushmore;11/12/1998;Black Comedy;R;17105219;28392518
299;A Civil Action;25/12/1998;Drama;PG-13;56709981;94139530
300;Mighty Joe Young;25/12/1998;Adventure;PG;50632037;87906042
301;My Favorite Martian;12/02/1999;Comedy;PG;36850101;61150849
302;The Other Sister;26/02/1999;Romantic Comedy;PG-13;27807627;46145331
303;Doug's 1st Movie;26/03/1999;Adventure;G;19421271;32228598
304;Ten Things I Hate About You;31/03/1999;Romantic Comedy;PG-13;38177966;63354375
305;Endurance;14/05/1999;;PG;229128;380218
306;Instinct;04/06/1999;Drama;R;34105207;56595842
307;Tarzan;16/06/1999;Adventure;G;171091819;283900254
308;Summer of Sam;02/07/1999;Drama;R;19288130;32007656
309;Inspector Gadget;23/07/1999;Comedy;PG;97387965;161610341
310;The Sixth Sense;06/08/1999;Thriller/Suspense;PG-13;293506292;485424724
311;The 13th Warrior;27/08/1999;Action;R;32698899;54262148
312;Breakfast of Champions;17/09/1999;Comedy;R;178287;295851
313;Mumford;24/09/1999;Comedy;R;4559569;7566363
314;Mystery Alaska;01/10/1999;Comedy;R;8891623;14755189
315;The Straight Story;15/10/1999;Drama;G;6197866;10111144
316;The Insider;05/11/1999;Drama;R;28965197;47794214
317;Toy Story 2;19/11/1999;Adventure;G;245852179;404450426
318;Cradle Will Rock;08/12/1999;Drama;R;2899970;4609153
319;Deuce Bigalow: Male Gigolo;10/12/1999;Comedy;R;65535067;106921374
320;Bicentennial Man;17/12/1999;Drama;PG;58220776;94838225
321;Play it to the Bone;24/12/1999;Comedy;R;8427204;13180524
322;Fantasia 2000 (IMAX);01/01/2000;Musical;G;60507228;94852354
323;Gun Shy;04/02/2000;Comedy;R;1638202;2562155
324;The Tigger Movie;11/02/2000;Adventure;G;45542421;71228678
325;Mission to Mars;10/03/2000;Adventure;PG;60874615;95208344
326;High Fidelity;31/03/2000;Comedy;R;27277055;42661516
327;Keeping the Faith;14/04/2000;Romantic Comedy;PG-13;37036404;57925202
328;Dinosaur;19/05/2000;Adventure;PG;137748063;215438985
329;Shanghai Noon;26/05/2000;Western;PG-13;56932305;89042541
330;Gone in 60 Seconds;09/06/2000;Action;PG-13;101643008;158970411
331;Fantasia 2000 (Theatrical Release);16/06/2000;Musical;G;9103630;14238144
332;The Kid;07/07/2000;Comedy;PG;69688384;108993148
333;Coyote Ugly;04/08/2000;Drama;PG-13;60786269;95070168
334;The Crew;25/08/2000;Comedy;PG-13;13019253;20362201
335;Duets;15/09/2000;Drama;R;4734235;7404372
336;Remember the Titans;29/09/2000;Drama;PG;115654751;180742479
337;Unbreakable;22/11/2000;Thriller/Suspense;PG-13;94999143;148208901
338;102 Dalmatians;22/11/2000;Comedy;G;66941559;104055039
339;The Emperor's New Groove;15/12/2000;Adventure;G;89296573;136789252
340;O Brother  Where Art Thou?;22/12/2000;Comedy;PG-13;45506619;67922002
341;Double Take;12/01/2001;Action;PG-13;29823162;44418589
342;Recess: School's Out;16/02/2001;Comedy;G;36696761;54656124
343;Just Visiting;06/04/2001;Comedy;PG-13;4777007;7114869
344;Pearl Harbor;25/05/2001;Action;PG-13;198539855;295705112
345;Atlantis: The Lost Empire;08/06/2001;Adventure;PG;84052762;125188122
346;crazy/beautiful;29/06/2001;Drama;PG-13;16929123;25214223
347;The Princess Diaries;03/08/2001;Comedy;G;108244774;161218928
348;Bubble Boy;24/08/2001;Comedy;PG-13;5002310;7450434
349;Max Keeble's Big Move;05/10/2001;Comedy;PG;17292381;25749730
350;Corky Romano;12/10/2001;Comedy;PG-13;23978402;35705805
351;High Heels and Low Lifes;26/10/2001;;R;226792;337782
352;Monsters Inc.;02/11/2001;Adventure;G;289423425;416073179
353;Out Cold;21/11/2001;Comedy;PG-13;13906394;20700691
354;The Royal Tenenbaums;14/12/2001;Black Comedy;R;52353636;76758193
355;Beauty and the Beast (IMAX);01/01/2002;Musical;G;25487028;36980311
356;Frank McKlusky C.I.;01/01/2002;;;0;0
357;Snow Dogs;18/01/2002;Comedy;PG;81150692;117745317
358;The Count of Monte Cristo;25/01/2002;Drama;PG-13;54228104;78682079
359;Peter Pan: Return to Neverland;15/02/2002;Adventure;G;48430258;70269715
360;Reign of Fire;19/02/2002;Action;PG-13;43061982;62480631
361;Sorority Boys;22/03/2002;Comedy;R;10198766;14797862
362;The Rookie;29/03/2002;Drama;G;75600072;109691666
363;Big Trouble;05/04/2002;Comedy;PG-13;7262288;10537188
364;ESPN's Ultimate X - The Movie;10/05/2002;Documentary;PG;4197175;6089874
